state_index,state_label,sensitivity_mhz_per_g,pi_time_us,wait_time_us,offset,offset_error,amplitude,amplitude_error,phase_rad,phase_error_rad,contrast,contrast_error,residual_rms
8,"[2, 0]",4.0589839045424014e-05,79.04,0.0,0.4978761784962755,0.00022296595885298832,0.49634143348492576,0.000233841882811852,1.5686724198646893,0.0013117211631717707,0.9969174162620411,0.0004672208090968003,0.0015288289280375197
8,"[2, 0]",4.0589839045424014e-05,79.04,125.0,0.49744554055749174,0.000868668597857094,0.48744482627635805,0.0009469926423395053,1.5681318134358067,0.0044583960448474624,0.9798958610224432,0.0025806014955361287,0.0050432956987934065
8,"[2, 0]",4.0589839045424014e-05,79.04,250.0,0.49531436200418816,0.002160346858127564,0.45984527821114546,0.00266420091031526,1.5721583274788618,0.007998548774952586,0.9283907624856176,0.006448490579671836,0.008407268299488834
8,"[2, 0]",4.0589839045424014e-05,79.04,375.0,0.49626450973377456,0.0030560067886785114,0.42825829957168343,0.0038978177038151846,1.5666578754014797,0.011354950086452802,0.8629637847796658,0.00922475122396971,0.010560500396974199
8,"[2, 0]",4.0589839045424014e-05,79.04,500.0,0.5021475014104755,0.0036975444845957677,0.39106743101794345,0.00487032953841666,1.5654241535401379,0.014500842166391926,0.7787899569737563,0.011559156323494135,0.010933380666442203
8,"[2, 0]",4.0589839045424014e-05,79.04,625.0,0.49208219638968825,0.004206621492979645,0.3652605683382347,0.005641906631176178,1.5619921268964505,0.017232243769209864,0.7422755202648679,0.012916492274424094,0.01367594143953116
8,"[2, 0]",4.0589839045424014e-05,79.04,750.0,0.5029558698179243,0.00470262602782028,0.3293583335449833,0.006338308170957527,1.5976474953816513,0.021285871589277364,0.6548453916328976,0.014315762574774614,0.016226777912275038
8,"[2, 0]",4.0589839045424014e-05,79.04,875.0,0.500890540714176,0.0049340172516998205,0.29289642821275597,0.00683120725765876,1.5668698958559268,0.024340406733182697,0.5847513666262105,0.014828148374048843,0.021876164514126568
8,"[2, 0]",4.0589839045424014e-05,79.04,1000.0,0.49685265925483685,0.005211579242585725,0.2784572996465684,0.007047037211037936,1.597537009052834,0.027796855570232346,0.560442405730885,0.015455696194766274,0.018376609209330978
8,"[2, 0]",4.0589839045424014e-05,79.04,1125.0,0.5111774688793144,0.005333637837487819,0.2514923176153558,0.007200934467332794,1.5430953950113522,0.03155282196555041,0.49198631185118114,0.015139453551744633,0.01895498443914087
8,"[2, 0]",4.0589839045424014e-05,79.04,1250.0,0.4933176609844529,0.005621228550480922,0.2138672144953895,0.00780253247150773,1.4995665162533285,0.03789543171763665,0.4335283964263538,0.0165362155926107,0.02023438489540102
8,"[2, 0]",4.0589839045424014e-05,79.04,1375.0,0.49366377625558283,0.0057279407045804365,0.19752289514360374,0.007880658470496005,1.5465278585613473,0.042224874349249396,0.40011624235791793,0.016585833794058348,0.023980232040935332
8,"[2, 0]",4.0589839045424014e-05,79.04,1500.0,0.5047224266647395,0.005827292317978507,0.1698178139071983,0.008087842971141936,1.6139203847922579,0.04944065962025325,0.3364578329308107,0.01664162418863718,0.019512411802355866
8,"[2, 0]",4.0589839045424014e-05,79.04,1625.0,0.5077183950770099,0.005925390664729943,0.14874161227096547,0.008229414131272074,1.5106206163541627,0.05740475991399799,0.2929608493866065,0.01653131429888433,0.019605717245233235
8,"[2, 0]",4.0589839045424014e-05,79.04,1750.0,0.4917281344534127,0.00594284615385786,0.14053402147083635,0.008275258059110618,1.406026592375972,0.060755610123657385,0.2857961780589368,0.01712120294667947,0.021552094902933156
