state_index,state_label,sensitivity_mhz_per_g,pi_time_us,wait_time_us,scan_phase_rad,mean_excited_population,population_std_across_noise_shots,population_sem,fitted_population
8,"[2, 0]",4.0589839045424014e-05,79.04,0.0,0.0,0.9945284057525344,0.007025384130868293,0.0004967696759377329,0.9942164924883214
8,"[2, 0]",4.0589839045424014e-05,79.04,0.0,0.39269908169872414,0.9551588247659172,0.014991629344665582,0.001060068277064827,0.9568382538231833
8,"[2, 0]",4.0589839045424014e-05,79.04,0.0,0.7853981633974483,0.850033033381222,0.02070059884875357,0.0014637533820576088,0.8495871996910969
8,"[2, 0]",4.0589839045424014e-05,79.04,0.0,1.1780972450961724,0.6874902490749235,0.03356555897012372,0.002373443436209143,0.688791330850445
8,"[2, 0]",4.0589839045424014e-05,79.04,0.0,1.5707963267948966,0.5008698287201464,0.033798556030921446,0.0023899188163778035,0.49893036071403696
8,"[2, 0]",4.0589839045424014e-05,79.04,0.0,1.9634954084936207,0.3115181756445528,0.03368318393705186,0.002381760777384316,0.30890890089115997
8,"[2, 0]",4.0589839045424014e-05,79.04,0.0,2.356194490192345,0.14897818352067962,0.025076705270025725,0.0017731908346251624,0.14765599609102503
8,"[2, 0]",4.0589839045424014e-05,79.04,0.0,2.748893571891069,0.03971509378993805,0.014112064877352134,0.0009978736771320198,0.03972093930822995
8,"[2, 0]",4.0589839045424014e-05,79.04,0.0,3.141592653589793,0.0014717732003900247,0.0035999730446137986,0.00025455653519351984,0.0015358645042296004
8,"[2, 0]",4.0589839045424014e-05,79.04,0.0,3.5342917352885173,0.038896301383564674,0.011830035168807797,0.0008365098089539336,0.03891410316936772
8,"[2, 0]",4.0589839045424014e-05,79.04,0.0,3.9269908169872414,0.14582026043769586,0.024161824145731144,0.0017084989699283353,0.14616515730145418
8,"[2, 0]",4.0589839045424014e-05,79.04,0.0,4.319689898685965,0.30657348117177363,0.03249351384817099,0.00229763839866207,0.3069610261421056
8,"[2, 0]",4.0589839045424014e-05,79.04,0.0,4.71238898038469,0.5008766984873978,0.029974219449909897,0.0021194973833804994,0.496821996278514
8,"[2, 0]",4.0589839045424014e-05,79.04,0.0,5.105088062083414,0.6880944090576384,0.03493622087163518,0.002470363868736423,0.686843456101391
8,"[2, 0]",4.0589839045424014e-05,79.04,0.0,5.497787143782138,0.8467534625456191,0.022034628775012634,0.0015580835427739662,0.848096360901526
8,"[2, 0]",4.0589839045424014e-05,79.04,0.0,5.890486225480862,0.9555987174985426,0.01673393892785267,0.0011832681691846167,0.9560314176843209
8,"[2, 0]",4.0589839045424014e-05,79.04,125.0,0.0,0.9848281318129104,0.02227359648819023,0.0015749811118212183,0.9848886364955665
8,"[2, 0]",4.0589839045424014e-05,79.04,125.0,0.39269908169872414,0.9397136805525304,0.06276037192285466,0.004437828457644033,0.9482812700567176
8,"[2, 0]",4.0589839045424014e-05,79.04,125.0,0.7853981633974483,0.8477538911643859,0.07522929406733284,0.005319514397888796,0.8430382506376766
8,"[2, 0]",4.0589839045424014e-05,79.04,125.0,1.1780972450961724,0.6954540202167305,0.11584879119609047,0.008191746584701997,0.6851818739146456
8,"[2, 0]",4.0589839045424014e-05,79.04,125.0,1.5707963267948966,0.50411574837647,0.10007906163621781,0.007076658313775607,0.49874434227208747
8,"[2, 0]",4.0589839045424014e-05,79.04,125.0,1.9634954084936207,0.310112679516924,0.10120397148231096,0.007156201451815205,0.3121090798421493
8,"[2, 0]",4.0589839045424014e-05,79.04,125.0,2.356194490192345,0.15208889419450686,0.06939438582374029,0.004906924079224237,0.15368961347692167
8,"[2, 0]",4.0589839045424014e-05,79.04,125.0,2.748893571891069,0.05202001101979637,0.059742218987631296,0.004224412816928581,0.04760387085447232
8,"[2, 0]",4.0589839045424014e-05,79.04,125.0,3.141592653589793,0.009001575503751942,0.023055822904102515,0.0016302928721327007,0.010002444619417072
8,"[2, 0]",4.0589839045424014e-05,79.04,125.0,3.5342917352885173,0.048166238672487365,0.04651661612983543,0.0032892214703258166,0.04660981105826578
8,"[2, 0]",4.0589839045424014e-05,79.04,125.0,3.9269908169872414,0.1498097507090496,0.07751108112665257,0.0054808611081756655,0.1518528304773069
8,"[2, 0]",4.0589839045424014e-05,79.04,125.0,4.319689898685965,0.30596599526709467,0.10388447368065937,0.007345741579958966,0.3097092072003378
8,"[2, 0]",4.0589839045424014e-05,79.04,125.0,4.71238898038469,0.497471688074312,0.10619258407907403,0.007508949631403585,0.49614673884289595
8,"[2, 0]",4.0589839045424014e-05,79.04,125.0,5.105088062083414,0.6887954316598106,0.11148603753652343,0.00788325331496937,0.6827820012728345
8,"[2, 0]",4.0589839045424014e-05,79.04,125.0,5.497787143782138,0.8505954629011506,0.07720107388894491,0.005458940286175665,0.8412014676380618
8,"[2, 0]",4.0589839045424014e-05,79.04,125.0,5.890486225480862,0.945520975496112,0.04493287700615647,0.0031772342029274332,0.9472872102605112
8,"[2, 0]",4.0589839045424014e-05,79.04,250.0,0.0,0.9533819859956262,0.09464176096905416,0.006692183096465451,0.9551592136983591
