# B0 B0_err (mG)
3.255347108487660068e-01 6.218182262548923624e-03
# f_Hz A A_err phi phi_err
    60.000 3.173977881706660509e-01 8.849138486176046786e-03 -2.350399403221637318e+00 2.752668077916749570e-02
   120.000 1.373064669236152835e-02 8.717774645316289303e-03 2.295736175730649808e+00 6.455727407251184990e-01
   180.000 8.344149603428988038e-02 8.656938104519826260e-03 2.512986909030463512e+00 1.068644826302102696e-01
   240.000 6.219886998154803594e-03 8.706695731582565767e-03 3.009000432118523971e+00 1.424233169270379351e+00
   300.000 3.479088947587211794e-02 8.839963045165400227e-03 -2.175883891735319597e+00 2.504133308873681685e-01
   360.000 8.597635850268228394e-03 8.741841314463849252e-03 -7.168380219549957966e-01 1.022763913442152894e+00
   420.000 9.361976789180173619e-03 8.787547130435774748e-03 1.732447232986416230e+00 9.320911705258624336e-01
   480.000 8.109060974921788664e-03 8.759045549620158438e-03 1.043572428776519789e+00 1.076468931119088257e+00
   540.000 1.312345078988304097e-02 8.735746726198609022e-03 8.735071858894420949e-01 6.646633968131255843e-01
   600.000 1.492042538697786747e-02 8.692719306033035512e-03 -6.895041527864883557e-01 5.852428129035655013e-01
