# B0 B0_err (mG)
3.612678552584407121e-02 4.288168480694753287e-03
# f_Hz A A_err phi phi_err
    60.000 7.537785575850451947e-01 6.122053418350643754e-03 -1.489409547644549248e+00 7.967850936332405987e-03
   120.000 2.349387303654564257e-03 6.081488879981315591e-03 -1.060681644449227523e+00 2.573676042065691671e+00
   180.000 5.165588789464390512e-02 6.007564150433195374e-03 3.060242138708914705e+00 1.184606767437704211e-01
   240.000 1.170418277260049274e-02 6.038096512957391582e-03 -7.979321733512262371e-01 5.201490680709853764e-01
   300.000 5.237640221642745481e-02 6.038087674064561254e-03 -2.920011051623444320e+00 1.162064795751086704e-01
   360.000 1.189991121366914227e-02 6.018126930616017785e-03 2.583417057486419477e+00 5.129853836152764579e-01
   420.000 1.096100219561880335e-02 6.019879415780239780e-03 2.798773171162103779e+00 5.565868396277462438e-01
   480.000 2.542388314784744738e-02 6.078899763809797116e-03 5.734416085715394740e-01 2.375590056897232127e-01
   540.000 1.566932096537310137e-02 6.073712601948217174e-03 4.966457895388144972e-01 3.856196551865043176e-01
   600.000 2.624885233567232374e-03 6.039216496659203376e-03 -2.620437435695265327e-01 2.314084001054609985e+00
