# B0 B0_err (mG)
3.402683674662764224e-01 4.472039428606705384e-03
# f_Hz A A_err phi phi_err
    60.000 3.120971056901404861e-01 6.354763593584874214e-03 -2.408557298967828331e+00 2.016696246829341108e-02
   120.000 4.245841726029845817e-03 6.362492812890289777e-03 4.933108031609604871e-01 1.480648063556811111e+00
   180.000 1.177992664656836302e-01 6.257741803120158743e-03 2.593018976130212483e+00 5.425703897897934946e-02
   240.000 2.306338306796464760e-03 6.277094367406298517e-03 -3.024202727397730772e+00 2.763328425981141478e+00
   300.000 3.112388408264138775e-02 6.367217760086135193e-03 -2.289936806341934528e+00 2.019028857165358903e-01
   360.000 6.052794427527352292e-03 6.303104824258084007e-03 2.445678808117339731e+00 1.048975668283457008e+00
   420.000 1.051816902554187673e-02 6.249651291160074514e-03 3.078727187410688959e+00 6.087353724353804507e-01
   480.000 2.673851559167663219e-03 6.320775466336012172e-03 -5.549631455237135080e-01 2.368667190944581336e+00
   540.000 3.312252210141672631e-03 6.314080661966422342e-03 -4.116479331743548853e-01 1.914385920594212198e+00
   600.000 8.915710884147524593e-03 6.304089902539096978e-03 2.898936345552067362e+00 7.123957976609326392e-01
