# B0 B0_err (mG)
3.196020721021751720e-01 7.040231847078341591e-03
# f_Hz A A_err phi phi_err
    60.000 3.118375099786178661e-01 1.039926854552574234e-02 -2.334136719642725843e+00 3.046426972715082088e-02
   120.000 1.068719779269216262e-02 9.903533214831734821e-03 -1.419836900959061454e+00 9.381584676439773673e-01
   180.000 8.837400010528947969e-02 9.861713779284613651e-03 2.694409630570709258e+00 1.138956506948388403e-01
   240.000 2.951168463839608930e-02 1.010104738310892321e-02 -1.840723214684819586e+00 3.323205229131466765e-01
   300.000 2.965678466727441481e-02 9.923400681843152007e-03 -2.360996773734006737e+00 3.362101614485766277e-01
   360.000 1.345268898671178603e-02 9.797587983916854204e-03 -1.930735347586494954e-01 7.505354380721619423e-01
   420.000 7.215200687822004820e-03 1.001544365043297025e-02 -2.075164739239354628e+00 1.370580748968323270e+00
   480.000 2.654159888802207212e-02 9.898064730830576433e-03 9.355011649561382203e-01 3.756962148002624402e-01
   540.000 1.990374708870397413e-02 9.966712241713958711e-03 -1.606557135370070499e+00 4.905212931888347505e-01
   600.000 5.696482980804362314e-03 9.702443048896929739e-03 -4.000340620570605465e-02 1.713001280925165570e+00
