# B0 B0_err (mG)
3.206287158491667455e-01 4.931650504482714380e-03
# f_Hz A A_err phi phi_err
    60.000 3.149691533274565081e-01 7.092689235510455867e-03 -2.367005660938930944e+00 2.175800017212100798e-02
   120.000 5.487801256402562861e-03 7.128046779258883844e-03 -1.481205166514858895e+00 1.240915930592003003e+00
   180.000 9.913603772472626141e-02 6.798580379913028368e-03 2.582975114534338257e+00 7.199512818236744605e-02
   240.000 9.259332822301380092e-03 6.997759955609453644e-03 -2.043215402191639107e+00 7.483289581660956813e-01
   300.000 4.366568165836959281e-02 7.006943897593795149e-03 -2.117086177701563710e+00 1.577828987118991555e-01
   360.000 1.182468446676796653e-02 6.895004530184674525e-03 2.845223946592030817e+00 5.919707156695683814e-01
   420.000 8.442179926032083656e-03 7.005478619894736983e-03 1.181018208703310757e+00 8.129836585790582992e-01
   480.000 2.244636881411503620e-03 6.869996129012119306e-03 -1.260051591917912495e+00 3.087839709738997129e+00
   540.000 2.028333736850704283e-02 6.882724368678662906e-03 -2.437333183208870158e-01 3.404716295467130616e-01
   600.000 4.702372226712287634e-03 6.856358587962766912e-03 1.973661187767853820e+00 1.468716145460747136e+00
