# B0 B0_err (mG)
3.386444380236219853e-01 5.782992252610954544e-03
# f_Hz A A_err phi phi_err
    60.000 3.519835931939663265e-01 8.553389230177853991e-03 -2.356764682756382179e+00 2.212554394484977233e-02
   120.000 6.882214424398784558e-03 8.084436640961341694e-03 -4.699657356298664879e-01 1.201901918402455527e+00
   180.000 9.561772790188659277e-02 8.051573165508732824e-03 2.485376707913143690e+00 8.674742950416740317e-02
   240.000 7.075491083448889884e-03 8.149316273696589896e-03 -8.202158851984132637e-01 1.158285303602585525e+00
   300.000 2.916407447960287294e-02 8.160296012657971068e-03 -2.969309968049952175e+00 2.805390825704691671e-01
   360.000 9.729711353338226995e-03 8.138531128856164518e-03 2.283795518221940934e+00 8.409435331637051814e-01
   420.000 1.557570712228099549e-02 8.156499491756287815e-03 1.998616538231742457e+00 5.228795025992599710e-01
   480.000 3.788255218668201522e-03 8.183023265786569175e-03 -1.229718958607107115e+00 2.142650693079907409e+00
   540.000 1.552797822731462503e-02 8.089668238664120964e-03 4.861065714271440852e-01 5.242799401760269706e-01
   600.000 2.591961163783395531e-03 7.949479326056040421e-03 -5.490369042791832799e-01 3.086888048976230703e+00
