# B0 B0_err (mG)
3.119414131246743271e-01 3.771430675613566923e-03
# f_Hz A A_err phi phi_err
    60.000 3.186825368135546843e-01 5.966410999547293141e-03 -2.341493060782840363e+00 1.450341286330451493e-02
   120.000 2.904297463966402752e-03 5.593121420378811999e-03 3.221244476137443247e+00 1.770051133039322266e+00
   180.000 9.021996778032105591e-02 4.824365185105563419e-03 2.570308051886628586e+00 6.538353552446364569e-02
   240.000 8.119666831934750032e-04 5.911908459293307820e-03 1.083935639247905147e+00 5.932499581304879754e+00
   300.000 1.891303950150735949e-02 5.521034733208287672e-03 3.746719958846568055e+00 2.730594521681723452e-01
   360.000 4.494896237184955665e-03 5.509315928237767772e-03 4.196603972104888669e+00 1.106263589931548497e+00
   420.000 1.791034367168695476e-02 5.495181704934699179e-03 2.103661089729548017e+00 2.619353882097798514e-01
   480.000 1.147360082685270656e-02 4.798167447736706101e-03 4.405159465271288433e+00 4.421235494370591712e-01
   540.000 1.174018141425778664e-02 4.759632373482394069e-03 2.760268072547646390e-01 4.147855037812595569e-01
   600.000 1.611863106195201125e-03 4.869326710101383286e-03 2.893450348542509598e+00 2.765702396399785545e+00
