# B0 B0_err (mG)
3.214640162765664555e-01 3.755005863312302784e-03
# f_Hz A A_err phi phi_err
    60.000 3.282153833298192547e-01 5.575209249579338340e-03 -2.345536549279079619e+00 1.532566574454320013e-02
   120.000 5.637270317802422180e-03 5.148126042809631105e-03 -2.870236059757284575e-01 9.691705038252999005e-01
   180.000 9.153714017519742896e-02 5.304951610538983543e-03 2.504679587464030188e+00 5.800150137690290864e-02
   240.000 1.862984187126794436e-02 5.339585351672778563e-03 1.115435322970431409e-01 2.831312832549489622e-01
   300.000 2.077865613908201625e-02 5.337624509924116835e-03 -2.504361851376967429e+00 2.539568109652353689e-01
   360.000 1.564211591591899500e-02 5.309637558412249464e-03 2.408759226397547692e+00 3.387841947347576266e-01
   420.000 2.437974303269277790e-02 5.262857621334942823e-03 2.452552627438195909e+00 2.185092389318139261e-01
   480.000 9.630151583688619996e-03 5.248944228452396069e-03 2.098422059208973622e-01 5.508894421429177957e-01
   540.000 1.034496153960589963e-02 5.231883874460170614e-03 -1.239881391416292472e-01 5.094394823607005796e-01
   600.000 6.638893827854446331e-03 5.225981647904584353e-03 9.985638970007137960e-01 7.854968531170329893e-01
