# B0 B0_err (mG)
5.607302606447843452e-02 1.368345804492815052e-02
# f_Hz A A_err phi phi_err
    60.000 6.950499899851517727e-01 1.950654666079185140e-02 -1.514153893031718212e+00 2.759728477314707731e-02
   120.000 2.745820244277117576e-03 1.901288832275352739e-02 2.596947798391818552e+00 6.996092395349582382e+00
   180.000 5.206349687553932931e-02 1.901706040281386442e-02 3.063460753642594181e+00 3.689008193235568944e-01
   240.000 8.418106213469415608e-03 1.924214690501163671e-02 1.185898039881807264e+01 2.254624755517538492e+00
   300.000 5.324217749297816688e-02 1.890501368225834186e-02 3.348825441403316283e+00 3.627173294589957075e-01
   360.000 1.330456432333017996e-02 1.901521320022323686e-02 2.380708109488482549e+00 1.443285839739406606e+00
   420.000 1.281385313195878770e-02 1.906969660688134435e-02 2.549857605683635509e+00 1.498650607726338846e+00
   480.000 2.554576626719400750e-02 1.921463728989486475e-02 3.481570146132679344e+00 7.567114167697457372e-01
   540.000 4.847322502790597787e-02 1.807793435355989006e-02 -5.724858666411434260e-01 4.208935356333763922e-01
   600.000 3.730472062115241377e-02 1.938121351434935261e-02 1.334192639943376113e+00 5.135743999224999801e-01
