# B0 B0_err (mG)
3.127366741166223152e-01 4.015129557272157333e-03
# f_Hz A A_err phi phi_err
    60.000 3.261776764878322465e-01 5.498746631509140656e-03 -2.290130841595030997e+00 1.794237806957139220e-02
   120.000 6.866596802008305238e-03 5.830417440160807173e-03 2.304540706470258549e+00 8.042129212759987489e-01
   180.000 1.032464294623136186e-01 5.583818897179384545e-03 2.569759097958058458e+00 5.590695865376139190e-02
   240.000 6.222640878223254304e-03 5.690818039413609794e-03 3.627444456193615885e-01 9.106819299066800655e-01
   300.000 2.685027229143899935e-02 5.743363278201768507e-03 -2.258301435551463232e+00 2.090934298167091698e-01
   360.000 1.121246782278967000e-02 5.662134194113331402e-03 -8.096025672006539053e-02 5.080303745312081398e-01
   420.000 1.978707848007028175e-02 5.651580534927289762e-03 -3.127925746329014878e+00 2.883977254319463612e-01
   480.000 9.351446331100164017e-03 5.721909079175832406e-03 1.064785755134117551e+00 6.026354461618963487e-01
   540.000 1.073185638523588108e-02 5.678552458728427545e-03 -5.952819529470868565e-01 5.291682007082341155e-01
   600.000 8.947601690764079088e-03 5.691226057058693458e-03 -1.076998054507914082e+00 6.330312093395219497e-01
   660.000 6.138885616141487832e-03 5.699289840243790956e-03 -1.671078815848762611e+00 9.214062419383847180e-01
   720.000 2.322546414469314757e-03 5.692051490908595079e-03 8.156533225081714633e-01 2.437390540103593572e+00
   780.000 8.061404609564186766e-03 5.672798359635886772e-03 -1.416489582008965131e+00 7.046144369362205007e-01
   840.000 3.962622661529260903e-03 5.688184078044263535e-03 1.511935872775044043e+00 1.429325459304018109e+00
   900.000 8.191273948547132117e-03 5.654158832025468762e-03 2.625310958881940770e+00 6.954209664129321622e-01
   960.000 7.005477097905059465e-03 5.706553486305786932e-03 9.220120566052525390e-01 8.057618247371648446e-01
  1020.000 5.998348546036098849e-03 5.654234284166764941e-03 1.948385641849056160e+00 9.495621781819177931e-01
  1080.000 1.615480482870030720e-03 5.674091213591602768e-03 3.800097220613506410e-01 3.513184750707222026e+00
  1140.000 5.586028207864300252e-03 5.678121774907407722e-03 -5.531678207794944457e-01 1.015223032572432071e+00
  1200.000 9.947952092089864737e-03 5.672697622644845387e-03 -3.132114341334944374e+00 5.703021877742623369e-01
  1260.000 1.009111659215351960e-02 5.688837418355898942e-03 -2.411754527808584458e-01 5.602453813353726053e-01
  1320.000 7.932643994293366030e-03 5.706389539193530182e-03 2.181102277895710984e+00 7.100780026062617489e-01
  1380.000 1.662322524221627670e-02 5.703054778355518863e-03 -1.553706748152046124e+00 3.382736088874609415e-01
  1440.000 4.331061500867321341e-03 5.638527508422068284e-03 3.554541433543370044e-01 1.312828433813942652e+00
  1500.000 3.920804695731198303e-03 5.669662645062355753e-03 9.875885344008599187e-01 1.436882155752160939e+00
  1560.000 8.803619589470484952e-03 5.661065180835021284e-03 1.646117059807531424e+00 6.400820653960286322e-01
  1620.000 6.605646392458890646e-03 5.618215124124102677e-03 -3.015922823201287795e+00 8.565021892699661299e-01
  1680.000 8.850145863604939531e-03 5.630202721528387334e-03 2.070104256266210030e-01 6.356438585299333255e-01
  1740.000 7.320373393269222553e-03 5.649815043434504129e-03 -2.820554345546356867e+00 7.641698027251309089e-01
  1800.000 1.559797983366402636e-02 5.578189663863268068e-03 1.376655711860881537e+00 3.612344335657650674e-01
