# B0 B0_err (mG)
2.551225384077197497e-02 1.239415394944840074e-03
# f_Hz A A_err phi phi_err
    60.000 6.733851194388183400e-03 1.754606177188634125e-03 -3.013992956348841457e+00 2.600819195444037946e-01
   120.000 6.699117353146179926e-03 1.740349904220594209e-03 5.020805978746005760e-01 2.626887881152827342e-01
   180.000 2.261428606961895377e-02 1.720647601340051817e-03 2.240760721331731986e+00 7.872677684428208700e-02
   240.000 2.264203777757092806e-02 1.736803301189287574e-03 -1.808549503203690012e+00 7.789741584775221328e-02
   300.000 1.977710371043913187e-02 1.752553722490060627e-03 -7.517871575638975790e-01 8.830649523665207168e-02
   360.000 1.058514376436896220e-02 1.741830736155935023e-03 2.103532206874579202e+00 1.655397371471138135e-01
   420.000 2.104699460118648890e-02 1.757364244942165483e-03 3.088818924196761184e+00 8.245541492438265840e-02
   480.000 1.144702943904791007e-02 1.742459352707750181e-03 -1.980876965591090944e+00 1.524236052361105931e-01
   540.000 3.768427252971193447e-03 1.733569241711396250e-03 -1.619070944458116612e+00 4.649851896429413878e-01
   600.000 5.693781935053360450e-03 1.732424504041752984e-03 3.340316800362939098e+00 3.078195209546318312e-01
