# B0 B0_err (mG)
3.128746541340268195e-01 4.002423086917138162e-03
# f_Hz A A_err phi phi_err
    60.000 3.263150313560740368e-01 5.489840774215564226e-03 -2.291571939910817868e+00 1.785232760517812059e-02
   120.000 6.608411128464575582e-03 5.798550353043050061e-03 2.332683403913176967e+00 8.345962040352178368e-01
   180.000 1.034795173603505619e-01 5.551081415705239573e-03 2.567331105060296714e+00 5.559662261757655766e-02
   240.000 5.834821956890670451e-03 5.663615522670082010e-03 3.586674842116746031e-01 9.668046244724660676e-01
   300.000 2.677949002964149020e-02 5.724077587800623437e-03 -2.253515188331290720e+00 2.075673050609478931e-01
   360.000 1.092451949684717684e-02 5.639560966714302417e-03 -5.433916699152074870e-02 5.161116660859099703e-01
   420.000 2.008253843884109588e-02 5.610917077127658414e-03 -9.394602110737739764e+00 2.812338866352532829e-01
   480.000 9.793988717801181340e-03 5.659091940044420552e-03 1.048507566095886245e+00 5.697222995042245941e-01
   540.000 9.914339034541259921e-03 5.604059368902285232e-03 -6.305276487651465533e-01 5.674581048379407910e-01
   600.000 9.703697209176886593e-03 5.605427864392518132e-03 -1.053029656359875110e+00 5.764363821047037151e-01
