nan,3.870120440296886954e+00,3.168627345075947233e+00,2.468162019795272499e+00,1.768721131156780757e+00
1.746143620948714670e+00,1.043619299707643222e+00,3.421261953917564824e-01,-3.583391207939712331e-01,-1.057780013979936484e+00
-1.243542396878183354e+00,-1.946066722666728310e+00,-2.647559822435141541e+00,-3.348025143168342765e+00,nan
nan,nan,3.257084072174620815e+00,2.556618746893946081e+00,1.857177858255454339e+00
nan,2.305727648490574211e+00,1.604234548722160980e+00,9.037692234414862469e-01,2.043283393504680134e-01
1.404060080858471338e+00,7.015357550699263811e-01,4.265530151315033436e-05,-7.004226699791615829e-01,-1.399863554070179816e+00
-1.140085078077390790e-01,-8.165328290488105267e-01,-1.518025933364697266e+00,-2.218491254097898491e+00,nan
-1.472823300900927279e+00,-2.175347622141998727e+00,-2.876840726457885467e+00,nan,nan
nan,nan,nan,3.496292492854990996e+00,2.796851608763972763e+00
nan,nan,3.201502390766108874e+00,2.501037070032907650e+00,1.801596176846942399e+00
nan,2.839974176822579466e+00,2.138481077054166235e+00,1.438015756320965011e+00,7.385748676824732684e-01
2.440529688101378269e+00,1.738005362312833313e+00,1.036512262544420082e+00,3.360469372637453489e-01,-3.633939513747463934e-01
1.306924455093394499e+00,6.044001293048495427e-01,-9.709297046356368810e-02,-7.975582957442384213e-01,nan
1.332893998551298864e-01,-5.692349259334150702e-01,-1.270728025701828301e+00,nan,nan
-1.121112818509573117e+00,-1.823637139750644565e+00,nan,nan,nan
nan,nan,nan,nan,2.799248986775637604e+00
nan,nan,nan,1.820412408051197417e+00,1.120971514865232166e+00
nan,nan,1.096854593924945220e+00,3.963892686442704871e-01,-3.030516154467477463e-01
nan,5.027218321629334241e-01,-1.987712630580062978e-01,-8.992365883386810310e-01,-1.598677481524646282e+00
1.711388449621153995e-02,-6.854104367448599078e-01,-1.386903541060746647e+00,-2.087368857246474363e+00,-2.786809750432439614e+00
-1.062320407072547823e+00,-1.764844732861092780e+00,-2.466337832629506011e+00,-3.166803157910180744e+00,nan
-2.016188509514904581e+00,-2.718712835303449538e+00,-3.420205935071862768e+00,nan,nan
-2.796710300572158303e+00,-3.499234621813229751e+00,nan,nan,nan
-2.799248982228164095e+00,nan,nan,nan,nan
