# time_us phase_over_pi phase_error
0.00000000e+00 1.98000000e+00 3.84638026e-02
0.00000000e+00 1.95945253e+00 3.39853455e-02
0.00000000e+00 1.94127872e-02 3.83088942e-02
5.00000000e+02 1.98000000e+00 3.83083738e-02
5.00000000e+02 1.96755235e+00 3.38778504e-02
1.00000000e+03 1.36255586e-20 3.56656845e-02
1.00000000e+03 1.97142341e+00 3.59199364e-02
1.00000000e+03 1.98000000e+00 3.78184791e-02
1.50000000e+03 1.97676391e+00 3.51768501e-02
1.50000000e+03 1.89933161e+00 3.06557781e-02
2.00000000e+03 5.14065065e-02 3.41613043e-02
2.00000000e+03 5.86081963e-02 3.67809084e-02
2.00000000e+03 8.55218930e-02 3.56941245e-02
2.50000000e+03 4.02727925e-02 3.58825299e-02
2.50000000e+03 8.70384201e-02 3.59459979e-02
2.50000000e+03 8.08980502e-02 3.43121322e-02
3.00000000e+03 1.97469353e-01 3.09608384e-02
3.00000000e+03 2.06262579e-01 3.10198694e-02
3.00000000e+03 2.36275564e-01 3.71894637e-02
3.50000000e+03 2.01061484e-01 3.33692795e-02
3.50000000e+03 2.86369122e-01 3.03625665e-02
4.00000000e+03 3.58131647e-01 3.47322035e-02
4.00000000e+03 4.80084401e-01 3.36065404e-02
4.00000000e+03 4.26442910e-01 3.55029732e-02
4.50000000e+03 4.09851198e-01 3.45709785e-02
4.50000000e+03 4.79040836e-01 4.83646780e-02
5.00000000e+03 6.07497516e-01 3.29924228e-02
5.00000000e+03 4.36229556e-01 3.58185012e-02
5.50000000e+03 5.79752867e-01 3.86788562e-02
6.00000000e+03 6.31012139e-01 3.62495689e-02
7.00000000e+03 8.75967450e-01 3.59902108e-02
8.00000000e+03 9.78945268e-01 4.05274895e-02
9.00000000e+03 1.21432293e+00 4.30286153e-02
1.00000000e+04 1.43868263e+00 3.54133144e-02
1.10000000e+04 1.25346391e+00 4.07283939e-02
1.20000000e+04 1.42024499e+00 3.85341904e-02
1.30000000e+04 1.53627799e+00 3.35028277e-02
1.40000000e+04 1.38985550e+00 4.43354532e-02
1.40000000e+04 1.49702165e+00 3.63237510e-02
1.50000000e+04 1.66426847e+00 3.45137937e-02
1.60000000e+04 1.46490470e+00 6.14323844e-02
