# B0 B0_err (mG)
3.271517519300357058e-01 6.093565824028820445e-03
# f_Hz A A_err phi phi_err
    60.000 3.112433260793414092e-01 8.628261334850057321e-03 -2.354945997893731491e+00 2.765145634534596844e-02
   120.000 1.495844493345547220e-02 8.599165230141259109e-03 2.341860069042722703e+00 5.771732521006173178e-01
   180.000 8.322951019997204547e-02 8.554658621292680204e-03 2.513111383757167250e+00 1.042271904310988068e-01
   240.000 7.400083770141130564e-03 8.511737463548397706e-03 2.870816365796780456e+00 1.177400377648945451e+00
   300.000 3.344298042062464338e-02 8.669359134746808943e-03 -2.219076518036331880e+00 2.556847037675326617e-01
   360.000 7.084637169089700974e-03 8.548231566661960296e-03 -6.231971238297751015e-01 1.223189483457419735e+00
   420.000 1.058225065228657509e-02 8.650112048033285414e-03 1.743889750767657842e+00 8.086259036976851666e-01
   480.000 9.042293109842683418e-03 8.653058662877324142e-03 1.133234482782545793e+00 9.451376573968108818e-01
   540.000 1.380269734430714101e-02 8.624500105203943001e-03 9.332113711146160506e-01 6.206374607685382072e-01
   600.000 1.391642418204833316e-02 8.574292733880961928e-03 -6.228542256495255280e-01 6.185239440903098629e-01
