# B0 B0_err (mG)
3.180667114759953562e-01 1.049431798027421680e-03
# f_Hz A A_err phi phi_err
    60.000 3.104810967148342593e-01 1.501667296812164406e-03 -2.328711189024184058e+00 4.721843719814071937e-03
   120.000 6.847248054016979481e-03 1.515675123633705886e-03 3.633235025075142732e-01 2.120314913671931256e-01
   180.000 1.028690828087178294e-01 1.454593978392400419e-03 2.660140386020491743e+00 1.469093191122045408e-02
   240.000 3.091059485778737716e-03 1.457936909857055320e-03 2.874116372513483064e+00 4.875220650935631617e-01
   300.000 4.403193858231925495e-02 1.483735119695141734e-03 -2.246866204855884508e+00 3.361433772601141873e-02
   360.000 3.946585708153627602e-03 1.468393848629223229e-03 2.924903519319555834e+00 3.786606112048659378e-01
   420.000 1.615501164438092746e-02 1.479877275150962446e-03 2.058224817343150548e+00 9.169867162508114899e-02
   480.000 4.465869475330287199e-03 1.479207287384159833e-03 9.847619826842958446e+00 3.313067922072246985e-01
   540.000 1.605863451965383604e-02 1.469580853926609173e-03 -7.774315030599210363e-01 9.271393775737177267e-02
   600.000 4.961563508844856439e-03 1.444065453452244956e-03 -1.216381054880368184e+00 2.917703871832421081e-01
