LT_comp,wait_time_us,ket0_population,lower_error,upper_error,n_scans
False,0,0.981506650133,0.00508623894386,0.00508623894386,8
False,200,0.991710709424,0.00389744368704,0.00389744368704,7
False,400,0.9913524348,0.00432161735896,0.00432161735896,6
False,600,0.885572002217,0.0131021995929,0.0131021995929,6
False,800,0.77607859027,0.0168788120385,0.0168788120385,6
False,1000,0.576818028062,0.0199110922868,0.0199110922868,6
False,1200,0.208086253135,0.0163933253649,0.0163933253649,6
False,1400,0.0204626549568,0.00485356931199,0.00485356931199,9
False,1600,0.444317727234,0.0161200922514,0.0161200922514,9
False,1800,0.893558604747,0.00993653853086,0.00993653853086,9
False,2000,0.686487568822,0.0157459968705,0.0157459968705,9
False,2200,0.113730581919,0.0105708570954,0.0105708570954,8
False,2400,0.161867409352,0.0124300416048,0.0124300416048,8
False,2600,0.873864739937,0.00913910883553,0.00913910883553,8
False,2800,0.845123224226,0.0108291911046,0.0108291911046,8
False,3000,0.170689609736,0.0126459239315,0.0126459239315,8
False,3200,0.827415868897,0.0132256036493,0.0132256036493,8
False,3400,0.617864749377,0.0144132283302,0.0144132283302,8
False,3600,0.323483974638,0.0164548106873,0.0164548106873,7
False,3800,0.887005424324,0.0108853508313,0.0108853508313,7
False,4000,0.194208635167,0.0130822868952,0.0130822868952,7
True,0,0.996805903774,0.00267101042517,0.00267101042517,8
True,200,0.98156451664,0.0050847544486,0.0050847544486,8
True,400,0.988302568356,0.00389439614269,0.00389439614269,8
True,600,0.991822916517,0.00366483610159,0.00366483610159,8
True,800,0.987229718086,0.00424944318147,0.00424944318147,8
True,1000,0.98978972204,0.00375738066105,0.00375738066105,8
True,1200,0.970989528125,0.00510009742055,0.00510009742055,8
True,1400,0.973405240922,0.00627928131664,0.00627928131664,7
True,1600,0.951695128723,0.00766289773629,0.00766289773629,8
True,1800,0.895904446962,0.0110531146554,0.0110531146554,7
True,2000,0.92970404997,0.00960785830027,0.00960785830027,7
True,2200,0.983986866933,0.00456027634135,0.00456027634135,7
True,2400,0.954897197992,0.00783358185628,0.00783358185628,7
True,2600,0.783034155027,0.015318665374,0.015318665374,7
True,2800,0.780576730319,0.0139181571379,0.0139181571379,7
True,3000,0.820728234048,0.0117078024919,0.0117078024919,7
True,3200,0.821792584042,0.013927310105,0.013927310105,7
True,3400,0.654905571859,0.0149971765611,0.0149971765611,7
True,3600,0.700684545697,0.0148929085301,0.0148929085301,7
True,3800,0.79063490601,0.0135231854013,0.0135231854013,7
True,4000,0.793902682781,0.0132817666156,0.0132817666156,7
